"x","y","color","pen down?","x","y","color","pen down?"
"239","13","105","true","239","169","15","true"
"240","12","105","true","240","165","15","true"
"241","14","105","true","241","164","15","true"
"242","11","105","true","242","163","15","true"
"243","10","105","true","243","159","15","true"
"244","11","105","true","244","158","15","true"
"245","11","105","true","245","155","15","true"
"246","11","105","true","246","153","15","true"
"247","13","105","true","247","152","15","true"
"248","15","105","true","248","152","15","true"
"249","14","105","true","249","155","15","true"
"250","14","105","true","250","153","15","true"
"251","14","105","true","251","154","15","true"
"252","15","105","true","252","151","15","true"
"253","14","105","true","253","147","15","true"
"254","14","105","true","254","147","15","true"
"255","14","105","true","255","147","15","true"
"256","14","105","true","256","146","15","true"
"257","15","105","true","257","148","15","true"
"258","15","105","true","258","149","15","true"
"259","14","105","true","259","149","15","true"
"260","14","105","true","260","147","15","true"
"261","15","105","true","261","150","15","true"
"262","15","105","true","262","152","15","true"
"263","16","105","true","263","151","15","true"
"264","16","105","true","264","153","15","true"
"265","17","105","true","265","154","15","true"
"266","17","105","true","266","156","15","true"
"267","16","105","true","267","150","15","true"
"268","16","105","true","268","154","15","true"
"269","17","105","true","269","151","15","true"
"270","17","105","true","270","149","15","true"
"271","16","105","true","271","153","15","true"
"272","16","105","true","272","146","15","true"
"273","15","105","true","273","145","15","true"
"274","15","105","true","274","143","15","true"
"275","15","105","true","275","140","15","true"
"276","16","105","true","276","134","15","true"
"277","17","105","true","277","136","15","true"
"278","17","105","true","278","137","15","true"
"279","16","105","true","279","138","15","true"
"280","16","105","true","280","139","15","true"
"281","17","105","true","281","134","15","true"
"282","19","105","true","282","131","15","true"
"283","18","105","true","283","134","15","true"
"284","19","105","true","284","126","15","true"
"285","18","105","true","285","128","15","true"
"286","16","105","true","286","132","15","true"
"287","15","105","true","287","128","15","true"
"288","16","105","true","288","132","15","true"
"289","15","105","true","289","134","15","true"
"290","16","105","true","290","136","15","true"
"291","19","105","true","291","135","15","true"
"292","17","105","true","292","135","15","true"
"293","16","105","true","293","136","15","true"
"294","17","105","true","294","140","15","true"
"295","17","105","true","295","140","15","true"
"296","18","105","true","296","138","15","true"
"297","19","105","true","297","145","15","true"
"298","20","105","true","298","148","15","true"
"299","22","105","true","299","154","15","true"
"300","21","105","true","300","152","15","true"
"301","20","105","true","301","149","15","true"
"302","21","105","true","302","152","15","true"
"303","22","105","true","303","151","15","true"
"304","23","105","true","304","150","15","true"
"305","23","105","true","305","153","15","true"
"306","26","105","true","306","158","15","true"
"307","25","105","true","307","159","15","true"
"308","24","105","true","308","159","15","true"
"309","23","105","true","309","156","15","true"
"310","23","105","true","310","155","15","true"
"311","21","105","true","311","160","15","true"
"312","23","105","true","312","161","15","true"
"313","23","105","true","313","160","15","true"
"314","21","105","true","314","155","15","true"
"315","21","105","true","315","153","15","true"
"316","21","105","true","316","158","15","true"
"317","19","105","true","317","164","15","true"
"318","19","105","true","318","159","15","true"
"319","19","105","true","319","156","15","true"
"320","20","105","true","320","151","15","true"
"321","17","105","true","321","153","15","true"
"322","14","105","true","322","155","15","true"
"323","14","105","true","323","154","15","true"
"324","15","105","true","324","156","15","true"
"325","15","105","true","325","158","15","true"
"326","16","105","true","326","160","15","true"
"327","15","105","true","327","159","15","true"
"328","15","105","true","328","159","15","true"
"329","15","105","true","329","159","15","true"
"330","15","105","true","330","161","15","true"
"331","16","105","true","331","148","15","true"
"332","16","105","true","332","145","15","true"
"333","17","105","true","333","140","15","true"
"334","15","105","true","334","142","15","true"
"335","16","105","true","335","145","15","true"
"336","16","105","true","336","141","15","true"
"337","14","105","true","337","136","15","true"
"338","15","105","true","338","132","15","true"
"339","14","105","true","339","131","15","true"
"340","14","105","true","340","131","15","true"
"341","13","105","true","341","130","15","true"
"342","13","105","true","342","131","15","true"
"343","13","105","true","343","137","15","true"
"344","15","105","true","344","135","15","true"
"345","16","105","true","345","139","15","true"
"346","15","105","true","346","138","15","true"
"347","15","105","true","347","135","15","true"
"348","15","105","true","348","139","15","true"
"349","17","105","true","349","139","15","true"
"350","18","105","true","350","141","15","true"
"351","19","105","true","351","144","15","true"
"352","21","105","true","352","148","15","true"
"353","20","105","true","353","148","15","true"
"354","20","105","true","354","148","15","true"
"355","20","105","true","355","151","15","true"
"356","21","105","true","356","155","15","true"
"357","21","105","true","357","159","15","true"
"358","21","105","true","358","161","15","true"
"359","22","105","true","359","167","15","true"
"360","22","105","true","360","165","15","true"
"361","22","105","true","361","168","15","true"
"362","23","105","true","362","163","15","true"
"363","23","105","true","363","161","15","true"
"364","24","105","true","364","164","15","true"
"365","22","105","true","365","167","15","true"
"366","20","105","true","366","166","15","true"
"367","20","105","true","367","166","15","true"
"368","19","105","true","368","166","15","true"
"369","18","105","true","369","159","15","true"
"370","18","105","true","370","157","15","true"
"371","19","105","true","371","150","15","true"
"372","19","105","true","372","153","15","true"
"373","19","105","true","373","153","15","true"
"374","17","105","true","374","156","15","true"
"375","16","105","true","375","157","15","true"
"376","18","105","true","376","154","15","true"
"377","20","105","true","377","153","15","true"
"378","21","105","true","378","153","15","true"
"379","19","105","true","379","151","15","true"
"380","19","105","true","380","152","15","true"
"381","20","105","true","381","150","15","true"
"382","18","105","true","382","144","15","true"
"383","19","105","true","383","153","15","true"
"384","18","105","true","384","156","15","true"
"385","17","105","true","385","155","15","true"
"386","18","105","true","386","154","15","true"
"387","17","105","true","387","158","15","true"
"388","20","105","true","388","160","15","true"
"389","20","105","true","389","156","15","true"
"390","21","105","true","390","161","15","true"
"391","19","105","true","391","162","15","true"
"392","18","105","true","392","162","15","true"
"393","18","105","true","393","161","15","true"
"394","18","105","true","394","162","15","true"
"395","19","105","true","395","156","15","true"
"396","18","105","true","396","159","15","true"
"397","19","105","true","397","156","15","true"
"398","19","105","true","398","156","15","true"
"399","19","105","true","399","155","15","true"
"400","21","105","true","400","157","15","true"
"401","18","105","true","401","152","15","true"
"402","18","105","true","402","154","15","true"
"403","16","105","true","403","154","15","true"
"404","17","105","true","404","159","15","true"
"405","17","105","true","405","157","15","true"
"406","18","105","true","406","155","15","true"
"407","18","105","true","407","158","15","true"
"408","19","105","true","408","157","15","true"
"409","19","105","true","409","160","15","true"
"410","17","105","true","410","158","15","true"
"411","17","105","true","411","162","15","true"
"412","17","105","true","412","158","15","true"
"413","18","105","true","413","157","15","true"
"414","18","105","true","414","155","15","true"
"415","16","105","true","415","152","15","true"
"416","16","105","true","416","150","15","true"
"417","16","105","true","417","153","15","true"
"418","18","105","true","418","153","15","true"
"419","18","105","true","419","151","15","true"
"420","18","105","true","420","154","15","true"
"421","17","105","true","421","160","15","true"
"422","18","105","true","422","156","15","true"
