"x","y","color","pen down?","x","y","color","pen down?"
"253","22","105","true","253","155","15","true"
"254","21","105","true","254","157","15","true"
"255","21","105","true","255","155","15","true"
"256","20","105","true","256","154","15","true"
"257","19","105","true","257","151","15","true"
"258","20","105","true","258","155","15","true"
"259","21","105","true","259","151","15","true"
"260","21","105","true","260","153","15","true"
"261","22","105","true","261","149","15","true"
"262","22","105","true","262","149","15","true"
"263","20","105","true","263","148","15","true"
"264","19","105","true","264","150","15","true"
"265","17","105","true","265","150","15","true"
"266","19","105","true","266","152","15","true"
"267","19","105","true","267","158","15","true"
"268","19","105","true","268","158","15","true"
"269","19","105","true","269","159","15","true"
"270","18","105","true","270","163","15","true"
"271","17","105","true","271","163","15","true"
"272","18","105","true","272","155","15","true"
"273","19","105","true","273","150","15","true"
"274","20","105","true","274","145","15","true"
"275","20","105","true","275","147","15","true"
"276","20","105","true","276","151","15","true"
"277","22","105","true","277","150","15","true"
"278","22","105","true","278","155","15","true"
"279","23","105","true","279","145","15","true"
"280","23","105","true","280","140","15","true"
"281","23","105","true","281","140","15","true"
"282","19","105","true","282","141","15","true"
"283","19","105","true","283","139","15","true"
"284","17","105","true","284","136","15","true"
"285","18","105","true","285","137","15","true"
"286","18","105","true","286","136","15","true"
"287","18","105","true","287","141","15","true"
"288","19","105","true","288","141","15","true"
"289","18","105","true","289","144","15","true"
"290","19","105","true","290","143","15","true"
"291","19","105","true","291","143","15","true"
"292","21","105","true","292","146","15","true"
"293","20","105","true","293","148","15","true"
"294","22","105","true","294","145","15","true"
"295","22","105","true","295","144","15","true"
"296","21","105","true","296","139","15","true"
"297","19","105","true","297","147","15","true"
"298","20","105","true","298","147","15","true"
"299","19","105","true","299","148","15","true"
"300","20","105","true","300","150","15","true"
"301","21","105","true","301","149","15","true"
"302","20","105","true","302","148","15","true"
"303","18","105","true","303","149","15","true"
"304","18","105","true","304","149","15","true"
"305","20","105","true","305","151","15","true"
"306","20","105","true","306","148","15","true"
"307","19","105","true","307","141","15","true"
"308","20","105","true","308","141","15","true"
"309","22","105","true","309","140","15","true"
"310","24","105","true","310","142","15","true"
"311","24","105","true","311","139","15","true"
"312","25","105","true","312","145","15","true"
"313","26","105","true","313","144","15","true"
"314","25","105","true","314","145","15","true"
"315","25","105","true","315","147","15","true"
"316","25","105","true","316","152","15","true"
"317","27","105","true","317","145","15","true"
"318","28","105","true","318","146","15","true"
"319","29","105","true","319","149","15","true"
"320","28","105","true","320","149","15","true"
"321","27","105","true","321","145","15","true"
"322","27","105","true","322","145","15","true"
"323","28","105","true","323","150","15","true"
"324","27","105","true","324","150","15","true"
"325","27","105","true","325","148","15","true"
"326","28","105","true","326","148","15","true"
"327","28","105","true","327","149","15","true"
"328","28","105","true","328","146","15","true"
"329","28","105","true","329","140","15","true"
"330","27","105","true","330","136","15","true"
"331","27","105","true","331","139","15","true"
"332","26","105","true","332","136","15","true"
"333","24","105","true","333","142","15","true"
"334","25","105","true","334","136","15","true"
"335","24","105","true","335","133","15","true"
"336","25","105","true","336","136","15","true"
"337","23","105","true","337","134","15","true"
"338","23","105","true","338","131","15","true"
"339","26","105","true","339","131","15","true"
"340","27","105","true","340","138","15","true"
"341","26","105","true","341","138","15","true"
"342","27","105","true","342","137","15","true"
"343","27","105","true","343","132","15","true"
"344","26","105","true","344","135","15","true"
"345","27","105","true","345","139","15","true"
"346","27","105","true","346","144","15","true"
"347","29","105","true","347","144","15","true"
"348","29","105","true","348","140","15","true"
"349","29","105","true","349","143","15","true"
"350","30","105","true","350","140","15","true"
"351","29","105","true","351","138","15","true"
"352","30","105","true","352","139","15","true"
"353","29","105","true","353","140","15","true"
"354","29","105","true","354","143","15","true"
"355","29","105","true","355","148","15","true"
"356","32","105","true","356","146","15","true"
"357","30","105","true","357","148","15","true"
"358","30","105","true","358","150","15","true"
"359","31","105","true","359","151","15","true"
"360","32","105","true","360","152","15","true"
"361","33","105","true","361","146","15","true"
"362","34","105","true","362","151","15","true"
"363","33","105","true","363","150","15","true"
"364","31","105","true","364","150","15","true"
"365","31","105","true","365","154","15","true"
"366","31","105","true","366","150","15","true"
"367","32","105","true","367","153","15","true"
"368","31","105","true","368","153","15","true"
"369","32","105","true","369","152","15","true"
"370","32","105","true","370","151","15","true"
"371","35","105","true","371","150","15","true"
"372","31","105","true","372","138","15","true"
"373","32","105","true","373","138","15","true"
"374","29","105","true","374","142","15","true"
"375","30","105","true","375","142","15","true"
"376","32","105","true","376","137","15","true"
"377","31","105","true","377","135","15","true"
"378","34","105","true","378","137","15","true"
"379","36","105","true","379","137","15","true"
"380","35","105","true","380","138","15","true"
"381","33","105","true","381","138","15","true"
"382","33","105","true","382","135","15","true"
"383","33","105","true","383","131","15","true"
"384","32","105","true","384","126","15","true"
"385","31","105","true","385","122","15","true"
"386","32","105","true","386","124","15","true"
"387","33","105","true","387","127","15","true"
"388","37","105","true","388","129","15","true"
"389","36","105","true","389","126","15","true"
"390","37","105","true","390","123","15","true"
"391","34","105","true","391","124","15","true"
