wals_code,Name,latitude,longitude
bmb,Bimoba,10.5,0.0
bmn,Bamun,5.5,10.9166666667
bmr,Burum,-6.5,147.333333333
bmz,Berber (Mzab),32.5,3.5
bna,Banawá,-7.0,-65.0
bnb,Bunuba,-17.75,125.75
bnd,Bandi,8.08333333333,-10.25
bng,Baining,-4.58333333333,152.0
bni,Bini,6.41666666667,5.83333333333
bnj,Bandjalang,-28.75,153.0
bnk,Bankon,4.41666666667,9.58333333333
bnl,Banggarla,-32.0,137.0
bnm,Binumarien,-6.28333333333,146.083333333
bnn,Banoni,-6.41666666667,155.25
bno,Barasano (Northern),0.333333333333,-70.25
bnq,Beng,7.83333333333,-4.25
bnr,Bilinara,-16.0,131.666666667
bnt,Bantik,1.41666666667,124.75
bnu,Bularnu,-21.0,138.0
bnw,Baniwa,2.66666666667,-66.8333333333
boa,Boazi,-7.0,141.333333333
bob,Bobangi,-1.33333333333,17.3333333333
bod,Bodo,26.8333333333,92.0
boi,Boiken,-3.5,143.5
boj,Bori,28.3333333333,94.75
bok,Boko,10.5,3.5
bol,Bolia,-1.25,18.3333333333
bon,Bongu,-5.5,145.916666667
boq,Bokar,28.5,94.6666666667
bor,Bora,-2.16666666667,-72.3333333333
bos,Bosnian,43.0,18.0
bou,Berber (Wargla),31.9166666667,5.33333333333
boz,Bozo (Tigemaxo),15.0,-4.0
bpa,Bura-Pabir,10.5,12.25
bpb,Bahnar (Plei Bong-Mang Yang),13.8333333333,108.333333333
bqb,Basque (Bidasoa Valley),43.0,-3.83333333333
bqg,Basque (Gernica),43.3333333333,-3.0
bqh,Basque (Hondarribia),42.5,-3.0
bqi,Basque (Basaburua and Imoz),43.0,-1.66666666667
bql,Basque (Lekeitio),43.0,-2.5
bqn,Basque (Northern High Navarrese),43.3333333333,-2.5
bqo,Basque (Oñati),42.5,-3.5
bqr,Basque (Roncalese),43.0,-2.0
bqs,Basque (Sakana),42.5,-2.0
bqz,Basque (Zeberio),42.0,-3.0
